year,region_name,road_name,road_type,start_junction_road_name,end_junction_road_name,latitude,longitude,link_length_km,pedal_cycles,all_motor_vehicles
2019,London,A212,Major,A2216,A213,51.426629,-0.05498944,0.2,329,28101
2019,London,A213,Major,A212,A215,51.395366,-0.08420342,2.2,177,14103
2019,London,A214,Major,A215,B232,51.422648,-0.10291205,0.6,126,16974
2019,London,A215,Major,A232,A222,51.378448,-0.06163089,0.9,86,22519
2019,London,A217,Major,A24,A3,51.432866,-0.18017702,4.2,751,22300
2019,London,A219,Major,A304,A308,51.470656,-0.21078236,0.3,1297,27604
2019,London,A220,Major,A221,A206,51.472148,0.16181458,3.4,42,12138
2019,London,A221,Major,A222,A210,51.445821,0.11923888,1.1,20,18821
2019,London,A222,Major,A2001,A211,51.424566,0.10099382,0.3,50,19265
2019,London,A222,Major,A212,A222 Cherry Orchard Rd,51.381077,-0.09026098,1,316,22368
2019,London,A223,Major,A211 Maidstone Rd,A2018,51.427529,0.13608658,3.3,176,22192
2019,London,A224,Major,A232,A223,51.374059,0.10916961,1.2,53,18422
2019,London,A232,Major,A233,A21,51.367361,0.04564892,1,58,21751
2019,London,A232,Major,LA Boundary,A2043,51.357408,-0.22051264,1,116,13635
2019,London,A235,Major,A23,A213,51.386806,-0.11086232,1.3,311,17911
2019,London,A235,Major,A22,A236,51.359591,-0.09789139,3.6,164,18021
2019,London,A236,Major,A232,A213,51.375049,-0.10674839,1.5,142,40067
2019,London,A237,Major,LA Boundary,A232,51.360453,-0.15001147,3.1,89,18472
2019,London,A240,Major,A3210,A307,51.398567,-0.30110185,3.4,223,13764
2019,London,A300,Major,A3200,LA Boundary,51.507052,-0.09508522,0.5,5767,7397
2019,London,A201,Major,A302,A3202,51.498206,-0.10409852,0.2,2088,16177
2019,London,A305,Major,A305 Paradise Rd,A205,51.461608,-0.29765351,1.7,719,11017
2019,London,A305,Major,A310,A3004,51.449211,-0.32344378,0.9,924,16107
2019,London,A305,Major,A305,A305,51.460107,-0.30577056,0.3,451,6909
2019,London,A308,Major,A219,A217,51.472405,-0.20164256,1.5,1188,13727
2019,London,A308,Major,A3008,A311,51.412889,-0.36216101,0.2,301,21386
2019,London,A310,Major,A3004,A315,51.471043,-0.32840295,1.2,517,22318
2019,London,A310,Major,A313,A309,51.435092,-0.32971554,1.4,886,13080
2019,London,A311,Major,A312,A313,51.426475,-0.35620931,0.9,498,13425
2019,London,A312,Major,A40(T),A4090,51.552423,-0.36024132,2.1,66,17636
2019,London,A312,Major,LA Boundary,A316,51.435757,-0.37702537,0.3,163,27872
2019,London,A315,Major,LA Boundary,A4/A3216,51.501976,-0.1716619,1.7,445,14859
2019,London,A315,Major,A402 Goldhawk Rd,A315 Studland St,51.49346,-0.24403101,0.8,1397,11470
2019,London,A205,Major,A315,A3000,51.489854,-0.28594243,0.2,928,27889
2019,London,A315,Major,A314,B363,51.473355,-0.34559738,1.1,416,14538
2019,London,A316,Major,A3003,LA Boundary,51.4707,-0.27370181,0.6,1082,38484
2019,London,A400,Major,A502,Delancey St,51.538201,-0.14209177,0.2,913,13015
2019,London,A400,Major,A501,Harrington Sq,51.531134,-0.13877508,0.9,1794,19390
2019,London,A402,Major,A219,A3220,51.503898,-0.22057555,0.5,1061,32151
2019,London,A404,Major,A4180,A4125,51.606666,-0.42740335,2,31,16288
2019,London,A404,Major,A312,B458,51.578,-0.33747067,0.7,91,29377
2019,London,A404,Major,A4005,A4005,51.553936,-0.31469187,0.6,188,23587
2019,London,A404,Major,A406,A407,51.543588,-0.27094486,1.5,392,20120
2019,London,A406,Major,LA Boundary,A404,51.541773,-0.27591674,1.1,4,101267
2019,London,A406,Major,A109,A1110,51.613136,-0.13253385,0.7,113,48871
2019,London,A406,Major,A1009,A112,51.605715,-0.0252497,1.7,30,118420
2019,London,A407,Major,A41,A598,51.562994,-0.19807087,0.5,118,10847
2019,London,A407,Major,A404,A4088,51.548911,-0.24189684,1.8,216,17073
2019,London,A409,Major,A4005,A410,51.597038,-0.33566385,3.2,83,16109
2019,London,A410,Major,A409,A4140,51.614436,-0.3260291,2.2,44,20833
2019,London,A501,Major,Penton Rise,A1,51.531529,-0.11280688,0.6,1765,32155
2019,London,A502,Major,A598,A406,51.57225,-0.19770485,1.6,212,9481
2019,London,A503,Major,Isledon Rd,Stroud Green Rd/Blackstock Rd,51.563886,-0.10627331,0.3,1430,31900
2019,London,A503,Major,A1/A5203,A103,51.556581,-0.1160978,0.3,1113,25475
2019,London,A503,Major,A400,A5202,51.541031,-0.13909235,0.3,1907,36868
2019,London,A504,Major,A1201,A103,51.586847,-0.12495081,1.4,270,23108
2019,London,A504,Major,A502,A1,51.589904,-0.21721692,0.7,148,13747
2019,London,A5202,Major,B512,A503,51.540098,-0.13696733,0.9,1181,6910
